year,flower_date,flower_doy,avg_temp_march_c
1174,1174-04-22,112,4.1
1175,1175-04-23,113,3.8
1176,1176-04-22,113,3.8
1177,,,
1178,,,
1179,1179-04-13,103,6.6
1180,1180-04-07,98,8.0
1181,,,
1182,1182-04-14,104,6.3
1183,1183-04-11,101,7.2
1184,1184-04-24,115,3.2
1185,1185-04-25,115,3.2
1186,,,
1187,1187-04-14,104,6.3
1188,1188-04-16,107,5.4
1189,,,
1190,1190-04-22,112,4.1
1191,1191-04-16,106,5.7
1192,,,
1193,,,
1194,1194-04-29,119,2.2
1195,,,
1196,,,
1197,,,
1198,,,
1199,1199-04-19,109,4.9
1200,1200-04-13,104,6.3
1201,1201-04-06,96,8.6
1202,1202-04-16,106,5.7
1203,1203-04-15,105,6.0
1204,1204-04-19,110,4.6
1205,1205-04-15,105,6.0
1206,,,
1207,1207-04-14,104,6.3
1208,,,
1209,,,
1210,1210-04-22,112,4.1
1211,,,
1212,1212-04-07,98,8.0
1213,1213-04-17,107,5.4
1214,1214-04-12,102,6.9
1215,1215-04-18,108,5.2
1216,1216-04-10,101,7.2
1217,,,
1218,,,
1219,1219-04-11,101,7.2
1220,1220-04-18,109,4.9
1221,1221-04-09,99,7.7
1222,,,
1223,1223-04-26,116,3.0
1224,,,
1225,1225-04-15,105,6.0
1226,1226-04-16,106,5.7
1227,1227-04-21,111,4.3
1228,,,
1229,1229-04-07,97,8.3
1230,1230-04-12,102,6.9
1231,1231-04-11,101,7.2
1232,1232-04-01,92,9.9
1233,1233-04-15,105,6.0
1234,,,
1235,1235-04-20,110,4.6
1236,1236-03-27,87,11.5
1237,,,
1238,,,
1239,,,
1240,1240-04-15,106,5.7
1241,,,
1242,,,
1243,,,
1244,1244-04-17,108,5.2
1245,1245-04-18,108,5.2
1246,1246-04-08,98,8.0
1247,1247-04-16,106,5.7
1248,,,
1249,1249-04-18,108,5.2
1250,1250-04-26,116,3.0
1251,1251-04-10,100,7.4
1252,,,
1253,,,
1254,1254-04-20,110,4.6
1255,,,
1256,,,
1257,1257-04-04,94,9.3
1258,,,
1259,1259-04-06,96,8.6
1260,,,
1261,,,
1262,1262-04-07,97,8.3
1263,1263-04-30,120,2.0
1264,1264-04-12,103,6.6
1265,1265-04-08,98,8.0
1266,,,
1267,1267-04-15,105,6.0
1268,1268-04-12,103,6.6
1269,1269-04-10,100,7.4
1270,,,
1271,1271-04-10,100,7.4
1272,,,
1273,,,
1274,,,
1275,1275-04-17,107,5.4
1276,,,
1277,,,
1278,1278-04-23,113,3.8
1279,1279-04-11,101,7.2
1280,1280-04-11,102,6.9
1281,,,
1282,,,
1283,1283-04-13,103,6.6
1284,1284-04-11,102,6.9
1285,1285-04-15,105,6.0
1286,1286-04-22,112,4.1
1287,1287-04-20,110,4.6
1288,1288-04-17,108,5.2
1289,1289-04-17,107,5.4
1290,,,
1291,,,
1292,1292-04-16,107,5.4
1293,,,
1294,1294-04-11,101,7.2
1295,1295-04-12,102,6.9
1296,,,
1297,,,
1298,,,
1299,,,
1300,,,
1301,1301-04-05,95,8.9
1302,1302-04-06,96,8.6
1303,,,
1304,,,
1305,,,
1306,,,
1307,1307-04-14,104,6.3
1308,,,
1309,,,
1310,,,
1311,1311-04-04,94,9.3
1312,1312-04-09,100,7.4
1313,,,
1314,1314-04-11,101,7.2
1315,1315-04-21,111,4.3
1316,1316-04-12,103,6.6
1317,1317-04-12,102,6.9
1318,,,
1319,1319-04-26,116,3.0
1320,,,
1321,1321-04-12,102,6.9
1322,1322-04-16,106,5.7
1323,1323-05-04,124,1.0
1324,1324-04-07,98,8.0
1325,,,
1326,1326-04-17,107,5.4
1327,,,
1328,,,
1329,1329-04-22,112,4.1
1330,1330-04-18,108,5.2
1331,1331-04-22,112,4.1
1332,1332-04-24,115,3.2
1333,,,
1334,,,
1335,,,
1336,,,
1337,,,
1338,,,
1339,,,
1340,,,
1341,,,
1342,1342-04-20,110,4.6
1343,,,
1344,1344-04-11,102,6.9
1345,,,
1346,1346-04-17,107,5.4
1347,1347-04-19,109,4.9
1348,,,
1349,1349-04-22,112,4.1
1350,1350-04-11,101,7.2
1351,1351-04-25,115,3.2
1352,,,
1353,,,
1354,,,
1355,,,
1356,1356-04-26,117,2.7
1357,1357-04-17,107,5.4
1358,1358-04-20,110,4.6
1359,1359-04-15,105,6.0
1360,1360-04-10,101,7.2
1361,1361-04-18,108,5.2
1362,,,
1363,1363-04-17,107,5.4
1364,1364-04-19,110,4.6
1365,,,
1366,1366-04-22,112,4.1
1367,1367-04-07,97,8.3
1368,1368-03-28,88,11.2
1369,1369-04-04,94,9.3
1370,1370-04-19,109,4.9
1371,,,
1372,1372-04-11,102,6.9
1373,1373-04-20,110,4.6
1374,,,
1375,1375-04-13,103,6.6
1376,1376-04-08,99,7.7
1377,1377-04-15,105,6.0
1378,1378-04-14,104,6.3
1379,1379-04-13,103,6.6
1380,1380-04-11,102,6.9
1381,1381-04-18,108,5.2
1382,1382-04-15,105,6.0
1383,1383-04-12,102,6.9
1384,1384-04-07,98,8.0
1385,1385-04-09,99,7.7
1386,1386-04-15,105,6.0
1387,1387-04-10,100,7.4
1388,1388-04-08,99,7.7
1389,,,
1390,,,
1391,,,
1392,,,
1393,,,
1394,,,
1395,,,
1396,,,
1397,,,
1398,1398-04-16,106,5.7
1399,,,
1400,,,
1401,1401-04-11,101,7.2
1402,1402-04-13,103,6.6
1403,1403-04-14,104,6.3
1404,,,
1405,,,
1406,1406-04-12,102,6.9
1407,1407-04-11,101,7.2
1408,1408-04-20,111,4.3
1409,1409-03-27,86,11.8
1410,1410-04-12,102,6.9
1411,,,
1412,1412-04-02,93,9.6
1413,1413-04-01,91,10.2
1414,,,
1415,1415-04-15,105,6.0
1416,1416-04-10,101,7.2
1417,1417-04-19,109,4.9
1418,1418-04-08,98,8.0
1419,1419-04-10,100,7.4
1420,1420-04-21,112,4.1
1421,1421-04-09,99,7.7
1422,1422-04-19,109,4.9
1423,1423-04-06,96,8.6
1424,1424-04-12,103,6.6
1425,1425-04-08,98,8.0
1426,1426-04-09,99,7.7
1427,1427-04-12,102,6.9
1428,,,
1429,1429-04-08,98,8.0
1430,1430-04-18,108,5.2
1431,1431-04-12,102,6.9
1432,1432-04-13,104,6.3
1433,1433-04-08,98,8.0
1434,1434-04-23,113,3.8
1435,1435-04-05,95,8.9
1436,1436-04-10,101,7.2
1437,1437-04-13,103,6.6
1438,1438-04-09,99,7.7
1439,1439-04-11,101,7.2
1440,1440-04-07,98,8.0
1441,1441-04-15,105,6.0
1442,,,
1443,1443-04-17,107,5.4
1444,1444-04-18,109,4.9
1445,,,
1446,1446-04-18,108,5.2
1447,1447-04-21,111,4.3
1448,1448-04-05,96,8.6
1449,1449-04-05,95,8.9
1450,1450-04-10,100,7.4
1451,1451-04-13,103,6.6
1452,1452-04-01,92,9.9
1453,1453-04-17,107,5.4
1454,1454-04-15,105,6.0
1455,1455-04-06,96,8.6
1456,1456-04-15,106,5.7
1457,1457-04-15,105,6.0
1458,1458-04-22,112,4.1
1459,1459-04-23,113,3.8
1460,1460-04-20,111,4.3
1461,1461-04-16,106,5.7
1462,1462-04-16,106,5.7
1463,1463-04-11,101,7.2
1464,1464-04-13,104,6.3
1465,1465-04-08,98,8.0
1466,1466-04-15,105,6.0
1467,1467-04-11,101,7.2
1468,1468-04-10,101,7.2
1469,,,
1470,,,
1471,,,
1472,1472-04-23,114,3.5
1473,,,
1474,1474-04-08,98,8.0
1475,,,
1476,1476-04-09,100,7.4
1477,1477-04-20,110,4.6
1478,1478-04-25,115,3.2
1479,1479-04-20,110,4.6
1480,1480-04-13,104,6.3
1481,1481-04-16,106,5.7
1482,1482-04-18,108,5.2
1483,1483-04-11,101,7.2
1484,1484-04-06,97,8.3
1485,1485-04-04,94,9.3
1486,1486-04-09,99,7.7
