year,flower_date,flower_doy,avg_temp_march_c
1927,1927-04-17,107,6.1
1928,1928-04-16,107,6.4
1929,1929-04-13,103,5.9
1930,1930-04-05,95,8.3
1931,1931-04-15,105,6.7
1932,1932-04-14,105,5.8
1933,1933-04-16,106,5.2
1934,1934-04-14,104,5.5
1935,1935-04-12,102,6.8
1936,1936-04-20,111,4.5
1937,1937-04-10,100,7.3
1938,1938-04-08,98,9.0
1939,1939-04-14,104,6.8
1940,1940-04-19,110,6.3
1941,1941-04-10,100,7.7
1942,1942-04-06,96,9.9
1943,1943-04-11,101,6.1
1944,1944-04-09,100,5.7
1945,,,6.6
1946,1946-04-07,97,6.1
1947,1947-04-17,107,5.4
1948,1948-04-11,102,6.4
1949,1949-04-17,107,5.5
1950,1950-04-09,99,6.8
1951,1951-04-08,98,7.4
1952,1952-04-14,105,6.8
1953,1953-04-11,101,8.6
1954,1954-04-08,98,7.6
1955,1955-04-07,97,8.9
1956,1956-04-08,99,8.3
1957,1957-04-13,103,5.2
1958,1958-04-09,99,7.5
1959,1959-04-02,92,9.0
1960,1960-04-04,95,8.9
1961,1961-04-09,99,8.0
1962,1962-04-12,102,7.3
1963,1963-04-11,101,7.0
1964,1964-04-08,99,6.6
1965,1965-04-20,110,5.5
1966,1966-04-07,97,8.5
1967,1967-04-07,97,7.7
1968,1968-04-08,99,8.0
1969,1969-04-11,101,6.9
1970,1970-04-17,107,5.0
1971,1971-04-08,98,7.4
1972,1972-04-08,99,8.8
1973,1973-04-07,97,7.8
1974,1974-04-09,99,7.0
1975,1975-04-10,100,7.4
1976,1976-04-08,99,7.9
1977,1977-04-03,93,8.7
1978,1978-04-14,104,7.6
1979,1979-04-07,97,8.0
1980,1980-04-11,102,7.3
1981,1981-04-09,99,8.3
1982,1982-04-03,93,8.6
1983,1983-04-09,99,7.8
1984,1984-04-18,109,5.1
1985,1985-04-09,99,8.5
1986,1986-04-12,102,7.6
1987,1987-04-05,95,8.2
1988,1988-04-15,106,7.3
1989,1989-04-03,93,8.2
1990,1990-03-29,88,9.3
1991,1991-04-07,97,9.4
1992,1992-04-03,94,9.7
1993,1993-04-07,97,7.6
1994,1994-04-09,99,7.1
1995,1995-04-09,99,8.6
1996,1996-04-12,103,7.7
1997,1997-04-07,97,9.3
1998,1998-04-01,91,9.7
1999,1999-04-04,94,9.9
2000,2000-04-09,100,7.5
2001,2001-04-06,96,8.6
2002,2002-04-01,91,10.3
2003,2003-04-08,98,7.3
2004,2004-04-01,92,9.1
2005,2005-04-09,99,7.7
2006,2006-04-08,98,7.5
2007,2007-04-07,97,8.6
2008,2008-04-04,95,9.6
2009,2009-04-05,95,8.8
2010,2010-04-05,95,8.5
2011,2011-04-09,99,
2012,2012-04-10,101,
2013,2013-04-03,93,
2014,2014-04-04,94,
2015,2015-04-03,93,
